Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,2350,42.95,298.28,2.93,15.14,Rolling,STT Paid,icicidirect,07-Apr-2022,NSE,
IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,Buy,12,322.10,11.42,0.12,0.00,TT,STT Paid,icicidirect,03-Nov-2025,NSE,
IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,Buy,47,322.15,44.75,0.48,0.00,TT,STT Paid,icicidirect,03-Nov-2025,NSE,
IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,Buy,90,322.25,85.72,0.92,0.00,TT,STT Paid,icicidirect,03-Nov-2025,NSE,
IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,Buy,19,322.25,18.10,0.19,0.00,TT,STT Paid,icicidirect,03-Nov-2025,NSE,
IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,Buy,229,322.25,218.12,2.34,22.00,TT,STT Paid,icicidirect,03-Nov-2025,NSE,
IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,Buy,53,321.50,50.36,0.54,0.00,TT,STT Paid,icicidirect,03-Nov-2025,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,41,210.60,25.53,0.30,0.00,Rolling,STT Paid,icicidirect,03-Mar-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,219,210.60,136.34,1.59,8.26,Rolling,STT Paid,icicidirect,03-Mar-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,1,210.60,0.62,0.01,0.00,Rolling,STT Paid,icicidirect,03-Mar-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,265,207.30,162.40,1.90,8.26,Rolling,STT Paid,icicidirect,10-Mar-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,261,210.10,162.11,1.89,8.26,Rolling,STT Paid,icicidirect,17-Mar-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,76,217.80,48.93,0.57,0.00,Rolling,STT Paid,icicidirect,31-Mar-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,176,217.85,113.35,1.32,8.25,Rolling,STT Paid,icicidirect,31-Mar-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Buy,245,202.40,146.56,1.54,7.00,Rolling,STT Paid,icicidirect,14-Jul-2021,NSE,
ITC,ITC LIMITED,INE154A01025,Sell,240,424.85,301.42,3.49,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
ITCHOT,ITC HOTELS LIMITED,INE379A01028,Buy,2,285.42,0.00,55.09,0.00,Rolling,STT Paid,Demerger,03-Mar-2021,NSE,
ITCHOT,ITC HOTELS LIMITED,INE379A01028,Buy,1,393.68,0.00,55.09,0.00,Rolling,STT Paid,Demerger,03-Mar-2021,NSE,
ITCHOT,ITC HOTELS LIMITED,INE379A01028,Buy,26,280.94,0.00,54.93,0.00,Rolling,STT Paid,Demerger,10-Mar-2021,NSE,
ITCHOT,ITC HOTELS LIMITED,INE379A01028,Buy,26,284.74,0.00,55.06,0.00,Rolling,STT Paid,Demerger,17-Mar-2021,NSE,
ITCHOT,ITC HOTELS LIMITED,INE379A01028,Buy,25,295.22,0.00,54.88,0.00,Rolling,STT Paid,Demerger,31-Mar-2021,NSE,
ITCHOT,ITC HOTELS LIMITED,INE379A01028,Buy,24,274.29,0.00,50.00,0.00,Rolling,STT Paid,Demerger,14-Jul-2021,NSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,326,213.00,205.19,1.94,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
